# z, Tu, Tv, Tw
1.512000000000000000e+03 2.293275903515997589e-11 2.722195972911547588e-11 -6.272016128056067122e-07
1.524000000000000000e+03 -2.688956631572118670e-11 -5.804716709895118232e-12 -6.247276967002885289e-07
1.536000000000000000e+03 3.370474338474269679e-12 1.329559355655465301e-11 -6.207034763776150723e-07
1.548000000000000000e+03 -1.029391336146853731e-11 6.381765765953568880e-12 -6.126686815817553301e-07
1.560000000000000000e+03 5.936734485559943247e-12 1.077775767896449026e-11 -6.083710859183967495e-07
1.572000000000000000e+03 4.232808329314281106e-12 7.794167503118158565e-13 -6.055153995614917061e-07
1.584000000000000000e+03 1.676519026165015202e-11 2.265350349907372609e-11 -6.016811364128672213e-07
1.596000000000000000e+03 -3.041773792969443053e-12 -2.765630793182919196e-11 -6.086420851942856102e-07
1.608000000000000000e+03 5.525372711060323510e-12 2.849758183801315781e-11 -6.097519073726332984e-07
1.620000000000000000e+03 -2.881072351031343918e-11 -3.991232214745399517e-11 -6.194429110141148163e-07
1.632000000000000000e+03 -7.946011227758465878e-12 3.767084579752584581e-11 -6.240688993085709583e-07
1.644000000000000000e+03 -3.583525026182426791e-11 -4.115179125098669056e-11 -6.402665352843136820e-07
1.656000000000000000e+03 -1.212992082687005478e-11 3.434227268718085043e-11 -6.460103758431004738e-07
1.668000000000000000e+03 -1.385088695605442654e-11 -4.420391107827295641e-11 -6.718001652034053637e-07
1.680000000000000000e+03 -7.951581752271959122e-12 3.898241612307434494e-11 -6.838410515184741231e-07
1.692000000000000000e+03 1.660739858226229003e-11 -2.628662948709524892e-11 -7.186595106994311832e-07
1.704000000000000000e+03 -2.089607538334404277e-11 6.877340900658652469e-11 -7.462793045534583681e-07
1.716000000000000000e+03 7.938806803894203096e-12 -4.798931692259082957e-11 -7.930954941742319650e-07
1.728000000000000000e+03 -3.707058375321822079e-11 8.221984028910618940e-11 -8.461820547128011583e-07
1.740000000000000000e+03 6.176869183734651767e-11 -1.062884379946953993e-10 -9.225962424827244896e-07
1.752000000000000000e+03 -8.483946538741381645e-12 7.339325041865532069e-11 -1.015133927900241402e-06
1.764000000000000000e+03 1.042907588265429797e-10 -1.755243866081429702e-10 -1.165206442752305177e-06
1.776000000000000000e+03 4.214656107786954519e-11 1.605316060803610845e-10 -1.382367911315374562e-06
1.788000000000000000e+03 -1.378129288897988027e-10 -2.467791285533960958e-10 -1.797791706393019001e-06
1.800000000000000000e+03 1.966044872534309599e-10 2.434310405331624036e-10 -2.558684168839182134e-06
1.812000000000000000e+03 -5.160922559359907613e-09 -5.683766487020926381e-09 -4.821584056704984148e-06
1.824000000000000000e+03 -2.329818645673827145e-08 -1.997366792063633556e-08 -8.980634522533276394e-06
1.836000000000000000e+03 -3.438195284382499626e-08 -2.730484550151674885e-08 -1.155871651225715300e-05
1.848000000000000000e+03 -1.910785732216326618e-08 -1.344794339999772943e-08 -1.038666931500212752e-05
1.860000000000000000e+03 -2.772402009433374788e-09 -7.465828308940027782e-09 -6.668160256063504380e-06
1.872000000000000000e+03 -3.522664215292969870e-10 1.432973108758720224e-08 -2.913208693980266143e-06
1.884000000000000000e+03 2.695917701134510990e-08 4.457097169295333617e-08 6.835224660109778322e-07
1.896000000000000000e+03 8.213333915319558043e-08 1.784121809232914964e-07 7.312266874658285386e-06
1.908000000000000000e+03 2.946724551517731528e-07 4.927536488205124118e-07 3.191632942410944820e-05
1.920000000000000000e+03 2.854030740435232347e-07 5.790230687545618489e-07 6.228326939628841218e-05
